original_name,correct_name
Gl 469.2B,GJ 469.2B
Gl 471,GJ 471
Gl 471.2,GJ 471.2
Gl 472,GJ 472
Gl 473A,GJ 473A
Gl 473B,GJ 473B
Gl 474,GJ 474
Gl 475,GJ 475
Gl 476,GJ 476
Gl 477,GJ 477
Gl 478,GJ 478
Gl 479,GJ 479
Gl 479.1,GJ 479.1
Gl 480,GJ 480
Gl 480.1,GJ 480.1
Gl 481,GJ 481
Gl 482A,GJ 482A
Gl 482B,GJ 482B
Gl 483,GJ 483
Gl 484,GJ 484
Gl 485,GJ 485
Gl 486,GJ 486
Gl 486.1,GJ 486.1
Gl 487,GJ 487
Gl 488,GJ 488
Gl 488.1,GJ 488.1
Gl 488.2B,GJ 488.2B
Gl 488.2A,GJ 488.2A
Gl 489,GJ 489
Gl 490A,GJ 490A
Gl 490B,GJ 490B
Gl 491A,GJ 491A
Gl 491B,GJ 491B
Gl 492,GJ 492
Gl 493,GJ 493
Gl 493.1,GJ 493.1
Gl 494,GJ 494
Gl 496A,GJ 496A
Gl 496B,GJ 496B
Gl 496.1,GJ 496.1
Gl 498,GJ 498
Gl 499A,GJ 499A
Gl 499B,GJ 499B
Gl 499.1,GJ 499.1
Gl 500,GJ 500
Gl 501A,GJ 501A
Gl 501B,GJ 501B
Gl 501.1,GJ 501.1
Gl 501.2,GJ 501.2
Gl 502,GJ 502
Gl 503AB,GJ 503AB
Gl 503.2,GJ 503.2
Gl 503.3,GJ 503.3
Gl 504,GJ 504
Gl 505A,GJ 505A
Gl 505B,GJ 505B
Gl 506,GJ 506
Gl 506.2,GJ 506.2
Gl 507A,GJ 507A
Gl 507B,GJ 507B
Gl 507.1,GJ 507.1
Gl 508A,GJ 508A
Gl 508B,GJ 508B
Gl 508.1,GJ 508.1
Gl 508.2,GJ 508.2
Gl 508.3,GJ 508.3
Gl 509A,GJ 509A
Gl 509B,GJ 509B
Gl 509.1,GJ 509.1
Gl 510,GJ 510
Gl 511,GJ 511
