HD128621;HD128620;ALF CEN B;ALPHA-CENTAURI;HD128620A;HR5459;HR5460;ALPHACENB;;;ALPHA-CEN,27812
HD73262;;;;;;;;;;,10
HD99453;;;;;;;;;;,10
HD130109;;;;;;;;;;,10
HD41695;;;;;;;;;;,10
HD116160;;;;;;;;;;,10
HD146464;V371_NOR;;;;;;;;;,10
HD141851;;;;;;;;;;,10
HD129422;;;;;;;;;;,10
HD159170;;;;;;;;;;,10
HD156751;;;;;;;;;;,10
HD155717;;;;;;;;;;,10
HIP102495;;;;;;;;;;,10
HD217357;;;;;;;;;;,10
HD75171;;;;;;;;;;,10
HD-1737;;;;;;;;;;,10
HD-22663;;;;;;;;;;,10
HD-24744;;;;;;;;;;,10
HD-24706;;;;;;;;;;,10
HD-23940;;;;;;;;;;,10
HD-32453;;;;;;;;;;,10
HD-36597;;;;;;;;;;,10
HD-199951;;;;;;;;;;,10
HD-770;;;;;;;;;;,10
HD-4211;;;;;;;;;;,10
HD-10042;;;;;;;;;;,10
HD-7672;;;;;;;;;;,10
HD-21120;;;;;;;;;;,10
HD-20894;;;;;;;;;;,10
HD-43785;;;;;;;;;;,10
HD-47910;;;;;;;;;;,10
HD-49947;;;;;;;;;;,10
HD-59219;;;;;;;;;;,10
HD-62713;HD62713;;;;;;;;;,10
HD-4398;;;;;;;;;;,10
HD-81169;LAM_PYX;;;;;;;;;,10
HD-75168;;;;;;;;;;,10
HR_3919;;;;;;;;;;,10
NGC2287NO204;;;;;;;;;;,10
HD-105707;;;;;;;;;;,10
HD-122430;HD-123123;;;;;;;;;,10
HD170706;;;;;;;;;;,10
HD185679;;;;;;;;;;,10
NGC6705NO1837;;;;;;;;;;,10
NGC6705NO963;;;;;;;;;;,10
HD-12932;;;;;;;;;;,10
HD42538;;;;;;;;;;,10
HD178787;;;;;;;;;;,10
OGLE SMC725.12.000065;SMC10-137844;;;;;;;;;,10
GJ1050;;;;;;;;;;,10
HD109573;;;;;;;;;;,10
GJ3340;;;;;;;;;;,10
HD-159194;;;;;;;;;;,10
HD102196;;;;;;;;;;,10
EX-LUP;SERAM-1603-4018;;;;;;;;;,10
GJ842;;;;;;;;;;,10
GJ1012;;;;;;;;;;,10
GJ204.2;;;;;;;;;;,10
LMC133.5-180;;;;;;;;;;,10
AUMON;0654_AUMON;;;;;;;;;,10
OBJ613;M67-613;;;;;;;;;,10
HS-HYA;;;;;;;;;;,10
RZ_CHA;;;;;;;;;;,10
HIP-56713;;;;;;;;;;,10
GJ3817;;;;;;;;;;,10
GJ723;;;;;;;;;;,10
HD-141556;HD141556;;;;;;;;;,10
GJ4310;;;;;;;;;;,10
LRC03_E2_3279;;;;;;;;;;,10
ASAS093549;ASAS_093549;;;;;;;;;,10
LRA03_E2_0678;;;;;;;;;;,10
GJ4159;;;;;;;;;;,10
HD-160578;;;;;;;;;;,10
HD188032;;;;;;;;;;,10
HD-97658;;;;;;;;;;,10
HD-128345;;;;;;;;;;,10
BD-12_4982;BD_12_4982_9.3;;;;;;;;;,10
BLG241.6_126747;;;;;;;;;;,10
BLG182.1_64148;;;;;;;;;;,10
LMC518.15.9366;;;;;;;;;;,10
HD92536;;;;;;;;;;,10
HD71043;;;;;;;;;;,10
HATS601-056;;;;;;;;;;,10
C03T004;C3_7743;;;;;;;;;,10
HATS535-001;;;;;;;;;;,10
EPIC201702477;;;;;;;;;;,10
C7_6283;CL005_07;CL005-07;;;;;;;;,10
U SGR;U_SGR;GC-USGR;;;;;;;;,10
U NOR;U_NOR;GC-UNOR;;;;;;;;,10
V_CAR;GC-VCAR;V CAR;;;;;;;;,10
NG0612-2518-44284;;;;;;;;;;,10
HATS625-025;;;;;;;;;;,10
UW LMI;UW_LMI;;;;;;;;;,10
E_204822807;EPIC-204822807;;;;;;;;;,10
FM_DEL;FM DEL;;;;;;;;;,10
SV_ERI;;;;;;;;;;,10
HW_LIB;;;;;;;;;;,10
E_204321014;;;;;;;;;;,10
CL009_15;EPIC249928278;CL009-15;;;;;;;;,10
HD103234;;;;;;;;;;,10
HD108857;;;;;;;;;;,10
HD145263;;;;;;;;;;,10
TYC1396-393-1;;;;;;;;;;,10
J1719+06;;;;;;;;;;,10
E_235444765;;;;;;;;;;,10
TYC1392-886-1;;;;;;;;;;,10
TYC6240-759-1;;;;;;;;;;,10
NOI-103524;;;;;;;;;;,10
HIP94150;;;;;;;;;;,10
NOI-104605;;;;;;;;;;,10
TIC67240043;TYC 6792-670-1;;;;;;;;;,10
TYC1243-402-1;;;;;;;;;;,10
CPD-64_390;;;;;;;;;;,10
OGLE-GD-T2CEP-0178;GD-T2CEP-0178;;;;;;;;;,10
J2027-57;;;;;;;;;;,10
LMC-CEP-0751;;;;;;;;;;,10
SMC-CEP-4083;OGLE-SMC-CEP-4083;;;;;;;;;,10
LMC-CEP-0144;;;;;;;;;;,10
SS73  44;;;;;;;;;;,10
WRAY 15-1316;;;;;;;;;;,10
TIC33982834;;;;;;;;;;,10
ASSASN-22AV;;;;;;;;;;,10
TOI-978;;;;;;;;;;,10
HD 141926;;;;;;;;;;,10
TOI-2365;;;;;;;;;;,10
BD+03 580;BD+03  580;;;;;;;;;,10
HD 119130;;;;;;;;;;,10
OGLE-TR-56;;;;;;;;;;,9
HR8858;;;;;;;;;;,9
HD38078;;;;;;;;;;,9
HD207699;;;;;;;;;;,9
HIP108020;;;;;;;;;;,9
HD208215;;;;;;;;;;,9
HD33822;;;;;;;;;;,9
HD224347;;;;;;;;;;,9
HD21977;;;;;;;;;;,9
HD43717;;;;;;;;;;,9
HD195633;;;;;;;;;;,9
BD-150869;;;;;;;;;;,9
HD8985;;;;;;;;;;,9
HD9608;;;;;;;;;;,9
GJ1057;;;;;;;;;;,9
GJ1125;;;;;;;;;;,9
HD43180;;;;;;;;;;,9
HD87320;;;;;;;;;;,9
HD54521;;;;;;;;;;,9
BD-082813;;;;;;;;;;,9
HD63685;;;;;;;;;;,9
HD78964B;;;;;;;;;;,9
BD-203194;;;;;;;;;;,9
HD116920;;;;;;;;;;,9
HD108935;;;;;;;;;;,9
BD-042639;;;;;;;;;;,9
HD123517;;;;;;;;;;,9
HD116284;;;;;;;;;;,9
HD18083;;;;;;;;;;,9
HD140785;;;;;;;;;;,9
HD101367;;;;;;;;;;,9
HD115341;;;;;;;;;;,9
HIP66678;;;;;;;;;;,9
HD120362;;;;;;;;;;,9
HD145344;;;;;;;;;;,9
GJ1224;;;;;;;;;;,9
LTT7434;;;;;;;;;;,9
GJ1232;;;;;;;;;;,9
HD329788;;;;;;;;;;,9
BD-043873;;;;;;;;;;,9
HIP12147;;;;;;;;;;,9
HD29875;;;;;;;;;;,9
HIP7829;;;;;;;;;;,9
HIP100490;;;;;;;;;;,9
HD64942;HIP 38747;;;;;;;;;,9
SAO196024;;;;;;;;;;,9
HD-13423;HD13423;;;;;;;;;,9
HD79096;;;;;;;;;;,9
HD102346;;;;;;;;;;,9
CD386968;CD-386968;;;;;;;;;,9
BD-203278;;;;;;;;;;,9
BD-002709;;;;;;;;;;,9
HD112100;;;;;;;;;;,9
IC4756NO38;;;;;;;;;;,9
HD142072;;;;;;;;;;,9
HD186803;HD 186803;;;;;;;;;,9
HD174122;;;;;;;;;;,9
HIP88371;;;;;;;;;;,9
HD171942;;;;;;;;;;,9
HD144880;;;;;;;;;;,9
HD200962;;;;;;;;;;,9
HD199868;;;;;;;;;;,9
HD158233;;;;;;;;;;,9
HD161555;;;;;;;;;;,9
HD9920;;;;;;;;;;,9
HR5777;;;;;;;;;;,9
BD-133333;;;;;;;;;;,9
HIP55119;;;;;;;;;;,9
HD162598;;;;;;;;;;,9
HD151692;;;;;;;;;;,9
HD170958;;;;;;;;;;,9
HD153276;;;;;;;;;;,9
HD-14703;;;;;;;;;;,9
HD-16815;;;;;;;;;;,9
HD-36189;;;;;;;;;;,9
HD-38871;;;;;;;;;;,9
HD-200763;;;;;;;;;;,9
HD-198232;;;;;;;;;;,9
HD-2529;;;;;;;;;;,9
HD-12270;;;;;;;;;;,9
HD-2114;;;;;;;;;;,9
HD-6559;;;;;;;;;;,9
HD-8705;;;;;;;;;;,9
HD-39640;;;;;;;;;;,9
HD-46568;;;;;;;;;;,9
HD-62644;HD62644;;;;;;;;;,9
HD-64181;;;;;;;;;;,9
HD-29737;;;;;;;;;;,9
HD-30814;;;;;;;;;;,9
HD-31414;;;;;;;;;;,9
HD-62412;HD62412;;;;;;;;;,9
HD-62902;;;;;;;;;;,9
HD-63697;;;;;;;;;;,9
HD-77087;;;;;;;;;;,9
39_HYA;HD-85444;;;;;;;;;,9
HD-62943;;;;;;;;;;,9
HD-79917;;;;;;;;;;,9
HD-79698;;;;;;;;;;,9
BD-064756;;;;;;;;;;,9
NGC2287NO107;;;;;;;;;;,9
HD-109379;ZI-946_G5II;;;;;;;;;,9
HD-157527;;;;;;;;;;,9
HD-165135;;;;;;;;;;,9
HD-166599;;;;;;;;;;,9
HD-169836;;;;;;;;;;,9
HD-171759;;;;;;;;;;,9
HD-173540;;;;;;;;;;,9
HD-175219;;;;;;;;;;,9
HD-175401;;;;;;;;;;,9
HD-189005;;;;;;;;;;,9
HR-5885;HR5885;;;;;;;;;,9
NGC6705NO1090;;;;;;;;;;,9
HR1010;;;;;;;;;;,9
HD216008;;;;;;;;;;,9
NGC6705NO411;;;;;;;;;;,9
HD200869;;;;;;;;;;,9
HD219011;;;;;;;;;;,9
HD218960;;;;;;;;;;,9
HD19493;;;;;;;;;;,9
HD15507;;;;;;;;;;,9
HD45133;;;;;;;;;;,9
HD38467;;;;;;;;;;,9
HD219556;;;;;;;;;;,9
HD193690;;;;;;;;;;,9
GJ70;;;;;;;;;;,9
GJ3369;;;;;;;;;;,9
GJ218;;;;;;;;;;,9
GJ452A;;;;;;;;;;,9
GJ513;;;;;;;;;;,9
GJ3707;GJ-3707;;;;;;;;;,9
GJ553.1;;;;;;;;;;,9
GJ3892;;;;;;;;;;,9
HD126535;;;;;;;;;;,9
HD105750;;;;;;;;;;,9
HD93849;;;;;;;;;;,9
1RXS-1533-6651;SERAM-1533-6651;;;;;;;;;,9
LRC01_E1_4780;;;;;;;;;;,9
LRC01_E2_5801;;;;;;;;;;,9
SRC01_E1_1773;;;;;;;;;;,9
NGC2477NO7367;NGC2477NO.7367;;;;;;;;;,9
NGC2477NO.6288;NGC2477NO6288;;;;;;;;;,9
GJ1022;;;;;;;;;;,9
LMC204.6-7868;OGLE LMC-ECL-25658;;;;;;;;;,9
HD10800;;;;;;;;;;,9
1RXSJ1233-57;SERAM-1233-5713;;;;;;;;;,9
V393_SCO;HD 161741;;;;;;;;;,9
LMC107.8-14618;;;;;;;;;;,9
HIP-80114;;;;;;;;;;,9
HIP-86694;HD160617;;;;;;;;;,9
GJ817;;;;;;;;;;,9
GJ4383;;;;;;;;;;,9
GJ912;;;;;;;;;;,9
LRA02_E2_5503;;;;;;;;;;,9
SAND1316;S1316;;;;;;;;;,9
HD-155851;HD155851;;;;;;;;;,9
HD-132200;HD132200;;;;;;;;;,9
LMC-CEP2532;;;;;;;;;;,9
LPV41682;LPV-41682;;;;;;;;;,9
LTT3864;;;;;;;;;;,9
LRA04_E2_0626;;;;;;;;;;,9
LRC04_E2_2875;;;;;;;;;;,9
GJ812A;;;;;;;;;;,9
HIP103983;;;;;;;;;;,9
70VIR;;;;;;;;;;,9
A204608;;;;;;;;;;,9
HD5248;;;;;;;;;;,9
AX_CIR;;;;;;;;;;,9
BLG217.4_8565;;;;;;;;;;,9
CWW_058;;;;;;;;;;,9
BLG194.4_110966;;;;;;;;;;,9
VWPHE;VW-PHE;;;;;;;;;,9
ALPHA_CRB;ALPHA-CRB;ALPHA CRB;;;;;;;;,9
HD225200;;;;;;;;;;,9
HATS598-003;;;;;;;;;;,9
A130406;;;;;;;;;;,9
HATS747-013;;;;;;;;;;,9
HD 183877;;;;;;;;;;,9
HATS778-035;;;;;;;;;;,9
C8_1411;;;;;;;;;;,9
NG0537-3056-15690;;;;;;;;;;,9
CL003_10;;;;;;;;;;,9
CL007_10;CL007-10;;;;;;;;;,9
CL033_10;CL033-10;;;;;;;;;,9
CL008_10;CL008-10;;;;;;;;;,9
V572 AQL;V572_AQL;;;;;;;;;,9
QATAR-2;;;;;;;;;;,9
NG2346-3633-14521;;;;;;;;;;,9
STEF090037;;;;;;;;;;,9
STEF121929;;;;;;;;;;,9
DU_ARA;;;;;;;;;;,9
HATS398-017;;;;;;;;;;,9
HD202772;;;;;;;;;;,9
HD  5278;TOI-130;;;;;;;;;,9
HD21216;;;;;;;;;;,9
NLTT2478;HIP3540;;;;;;;;;,9
J1455-43;;;;;;;;;;,9
TYC246-1159-1;;;;;;;;;;,9
TOI-923;;;;;;;;;;,9
TOI-899;;;;;;;;;;,9
TYC6511-1799-1;;;;;;;;;;,9
SWASPJ104335.88;;;;;;;;;;,9
TYC735-1315-1;;;;;;;;;;,9
LMC-CEP-0837;;;;;;;;;;,9
LMC-CEP-2605;;;;;;;;;;,9
TOI-641;;;;;;;;;;,9
LP_LIB;;;;;;;;;;,9
TYC 5940-155-1;TIC124029677;;;;;;;;;,9
TIC 179230828;;;;;;;;;;,9
OGLE-SMC-CEP-2604;OGLE SMC-CEP-2604;SMC-CEP-2604;OGLE_SMC-CEP-2604;;;;;;;,9
TYC  50-821-1;TIC318812447;;;;;;;;;,9
LMC-CEP-0535;SV HV 2261;;;;;;;;;,9
TOI-2545;;;;;;;;;;,9
TIC455238504;;;;;;;;;;,9
TOI-2357;;;;;;;;;;,9
HIP11989;;;;;;;;;;,8
HD26430;;;;;;;;;;,8
HD37548;;;;;;;;;;,8
HD33081;;;;;;;;;;,8
BD-120662;;;;;;;;;;,8
HD8326;;;;;;;;;;,8
HD4838;;;;;;;;;;,8
HD4967;;;;;;;;;;,8
HD5349;;;;;;;;;;,8
CD-44-836A;;;;;;;;;;,8
GJ1065;;;;;;;;;;,8
LHS1935;;;;;;;;;;,8
GJ1129;;;;;;;;;;,8
BD-050578;;;;;;;;;;,8
HD86171;;;;;;;;;;,8
HD98356;;;;;;;;;;,8
HIP43310;;;;;;;;;;,8
HIP43313;;;;;;;;;;,8
HIP44899;;;;;;;;;;,8
HD84687;;;;;;;;;;,8
HD66168;;;;;;;;;;,8
HD309701;;;;;;;;;;,8
HD96673;;;;;;;;;;,8
HD138914;;;;;;;;;;,8
CD-23 9305;HIP51263;;;;;;;;;,8
HD89749;;;;;;;;;;,8
HD105575;;;;;;;;;;,8
HD122308;;;;;;;;;;,8
BD-033746;;;;;;;;;;,8
HD197557;CD-3814203B;;;;;;;;;,8
HD45088;GJ233B;;;;;;;;;,8
HD5633;;;;;;;;;;,8
HD224578;;;;;;;;;;,8
HIP116491;;;;;;;;;;,8
GSC8047-0232;TIC229151691;;;;;;;;;,8
HD240648;HIP23750;;;;;;;;;,8
HD45665;;;;;;;;;;,8
HD242780;HIP24923;;;;;;;;;,8
HD25825;HIP19148;;;;;;;;;,8
HD98586;;;;;;;;;;,8
HD102843;;;;;;;;;;,8
HD109098;;;;;;;;;;,8
TR172;;;;;;;;;;,8
OGLE-TR-143;;;;;;;;;;,8
BD-053176;;;;;;;;;;,8
HD125522;;;;;;;;;;,8
HD128113;;;;;;;;;;,8
HD326267;;;;;;;;;;,8
HD178904;;;;;;;;;;,8
HD50060;;;;;;;;;;,8
HD160013;;;;;;;;;;,8
HD180263;;;;;;;;;;,8
HD220729;;;;;;;;;;,8
HD223781;;;;;;;;;;,8
HD7355;;;;;;;;;;,8
HD13997;;;;;;;;;;,8
HD14651;;;;;;;;;;,8
HD11271;;;;;;;;;;,8
BD-223528;;;;;;;;;;,8
HD123180;;;;;;;;;;,8
HD118926;;;;;;;;;;,8
BD-063950;;;;;;;;;;,8
HD137010;;;;;;;;;;,8
HD139710;;;;;;;;;;,8
HD96819;;;;;;;;;;,8
HD197300;;;;;;;;;;,8
BPPSC;BP_PSC;;;;;;;;;,8
HD323631;;;;;;;;;;,8
HIP104856;;;;;;;;;;,8
HD96937;;;;;;;;;;,8
HD103847;;;;;;;;;;,8
HD111814;;;;;;;;;;,8
HD124244;;;;;;;;;;,8
HD-6245;;;;;;;;;;,8
HD-6192;;;;;;;;;;,8
HD-14832;;;;;;;;;;,8
HD-13940;;;;;;;;;;,8
HD-16975;;;;;;;;;;,8
HD-201852;;;;;;;;;;,8
HD-3488;;;;;;;;;;,8
HD-12438;;;;;;;;;;,8
HD-13263;;;;;;;;;;,8
HD-10761;;;;;;;;;;,8
HD-54038;;;;;;;;;;,8
HD-54732;;;;;;;;;;,8
HD-59894;;;;;;;;;;,8
HD-60574;;;;;;;;;;,8
HD-62897;;;;;;;;;;,8
HD-1522;;;;;;;;;;,8
HD-59411;;;;;;;;;;,8
HD-68290;;;;;;;;;;,8
HD-80499;;;;;;;;;;,8
HD-78647;;;;;;;;;;,8
HD-74006;;;;;;;;;;,8
HD-67990;;;;;;;;;;,8
HD-70982;;;;;;;;;;,8
HD-73887;;;;;;;;;;,8
HD-78632;;;;;;;;;;,8
HD-74772;;;;;;;;;;,8
HD-78883;;;;;;;;;;,8
HD-129078;ALF-APS;;;;;;;;;,8
NGC3532NO522;;;;;;;;;;,8
NGC3532NO160;;;;;;;;;;,8
HD-83441;;;;;;;;;;,8
HD-108570;HD108570;;;;;;;;;,8
HD-138905;;;;;;;;;;,8
HD-139521;;;;;;;;;;,8
HD-144608;;;;;;;;;;,8
HD-156854;;;;;;;;;;,8
HD-160720;;;;;;;;;;,8
HD-167096;;;;;;;;;;,8
HD-172211;;;;;;;;;;,8
HD102361;;;;;;;;;;,8
HD-213637;;;;;;;;;;,8
NGC6705NO320;;;;;;;;;;,8
HD19773;;;;;;;;;;,8
HD13147;;;;;;;;;;,8
HD55524;;;;;;;;;;,8
BET-ARA;;;;;;;;;;,8
GJ16;;;;;;;;;;,8
SC9-59;LMC9-230659;;;;;;;;;,8
HD-84937;HIP-48152;;;;;;;;;,8
HD015115;;;;;;;;;;,8
GJ3328;;;;;;;;;;,8
GJ1097;;;;;;;;;;,8
GJ399;;;;;;;;;;,8
HD139664;;;;;;;;;;,8
GJ2085;;;;;;;;;;,8
GJ3671;;;;;;;;;;,8
GJ618.4;;;;;;;;;;,8
GJ3796;;;;;;;;;;,8
GJ552;;;;;;;;;;,8
HD29231;;;;;;;;;;,8
HD127423;;;;;;;;;;,8
HD42719;;;;;;;;;;,8
HD69721;;;;;;;;;;,8
HD-135344;HD135344_8.7_F8;HD135344B;;;;;;;;,8
HD-174295;;;;;;;;;;,8
GJ9732;;;;;;;;;;,8
GJ838.6;;;;;;;;;;,8
HD206837;;;;;;;;;;,8
HD18754;;;;;;;;;;,8
SERAM_0331-6331;1RXS-J033-6331;SERAM-J033-6331;;;;;;;;,8
GJ3006;;;;;;;;;;,8
GJ238;;;;;;;;;;,8
LMC135.3-14680;;;;;;;;;;,8
SMC3-165186;;;;;;;;;;,8
LMC-CEPII-098;OGLE-LMC-T2CEP-098;LMC-T2-52;LMC-T2-98;LMC-T2CEP-098;;;;;;,8
OBJ1852;M67-1852;;;;;;;;;,8
SAND657;;;;;;;;;;,8
SAND1054;S1054;;;;;;;;;,8
OBJ1067;;;;;;;;;;,8
OBJ1496;;;;;;;;;;,8
VZ-HYA;0831_VZ-HYA;;;;;;;;;,8
DV_BOO;;;;;;;;;;,8
HR-3858;;;;;;;;;;,8
GJ4077;;;;;;;;;;,8
HD-194783;;;;;;;;;;,8
GJ4180;;;;;;;;;;,8
SRC02_E2_3121;;;;;;;;;;,8
HD269858;;;;;;;;;;,8
X-CAE;;;;;;;;;;,8
HD-68099;;;;;;;;;;,8
HD-72208;;;;;;;;;;,8
HD-78316;;;;;;;;;;,8
HD-70235;;;;;;;;;;,8
HD-71833;;;;;;;;;;,8
LRA03_E2_1919;;;;;;;;;;,8
HD-149121;;;;;;;;;;,8
HD-158704;;;;;;;;;;,8
HD220308;;;;;;;;;;,8
LRC05_E2_3718;;;;;;;;;;,8
HD173787;V356-SGR;;;;;;;;;,8
LRA03_E2_4826;;;;;;;;;;,8
HR1373;HD27697;HIP20455;;;;;;;;,8
HD85953;;;;;;;;;;,8
COUP1568;;;;;;;;;;,8
HD69013;;;;;;;;;;,8
HIP19807;;;;;;;;;;,8
HIP31831;;;;;;;;;;,8
HD-144470;HD144470_4.0;;;;;;;;;,8
HD-106983;;;;;;;;;;,8
HD-133955;;;;;;;;;;,8
HD-113703;;;;;;;;;;,8
HD-173948;;;;;;;;;;,8
HD-120307;;;;;;;;;;,8
HD-68324;;;;;;;;;;,8
CPD-28-2561;;;;;;;;;;,8
HD-44402;;;;;;;;;;,8
HD-67341;;;;;;;;;;,8
HD-68092;;;;;;;;;;,8
HD86264;;;;;;;;;;,8
HD-154664;;;;;;;;;;,8
HD-164865;;;;;;;;;;,8
HD-164933;;;;;;;;;;,8
HD-155320;;;;;;;;;;,8
HD-156256;;;;;;;;;;,8
HD-315021;;;;;;;;;;,8
HD-223145;;;;;;;;;;,8
HD-315033;;;;;;;;;;,8
HD-155217;;;;;;;;;;,8
HD-156004;;;;;;;;;;,8
HD-156321;;;;;;;;;;,8
HD-155888;;;;;;;;;;,8
HD-203532;;;;;;;;;;,8
HD-155273;;;;;;;;;;,8
HD-208213;;;;;;;;;;,8
HD-205637;;;;;;;;;;,8
HD-955;;;;;;;;;;,8
HD-10747;;;;;;;;;;,8
HD142990;;;;;;;;;;,8
LRC09_E2_3322;;;;;;;;;;,8
BD-195953;;;;;;;;;;,8
PAR-1736;;;;;;;;;;,8
PAR-2494;;;;;;;;;;,8
HD-80761;;;;;;;;;;,8
HD-90966-A;;;;;;;;;;,8
HD-108257;;;;;;;;;;,8
HD-80279;;;;;;;;;;,8
HD-79791;;;;;;;;;;,8
HD-308096;;;;;;;;;;,8
HD-115846;;;;;;;;;;,8
HD-116072;;;;;;;;;;,8
HD-93250;;;;;;;;;;,8
HD-93028;;;;;;;;;;,8
HD-75290;;;;;;;;;;,8
HD-110432;;;;;;;;;;,8
HD-147888;;;;;;;;;;,8
HD-75758;;;;;;;;;;,8
HD-75324;;;;;;;;;;,8
HD-75657;;;;;;;;;;,8
NGC3680NO.13;NGC3680NO13;;;;;;;;;,8
NGC5822NO.1;;;;;;;;;;,8
NGC5822NO.443;;;;;;;;;;,8
NGC2925NO108;;;;;;;;;;,8
HD1040;;;;;;;;;;,8
BLG138.3_130492;;;;;;;;;;,8
BLG194.6_53093;;;;;;;;;;,8
BLG226.3_141086;;;;;;;;;;,8
HD-155402;;;;;;;;;;,8
HD-155403;;;;;;;;;;,8
HD-170235;;;;;;;;;;,8
LRC06_E2_1637;;;;;;;;;;,8
CWW_059;;;;;;;;;;,8
CWW_098;;;;;;;;;;,8
CWW_057;;;;;;;;;;,8
BLG218.6_139950;;;;;;;;;;,8
HD-36591;;;;;;;;;;,8
HD-75759;HD75759;;;;;;;;;,8
HIP25410;;;;;;;;;;,8
HD72754;;;;;;;;;;,8
HD162374;;;;;;;;;;,8
BET-IND;;;;;;;;;;,8
HD837288;;;;;;;;;;,8
RXJ1539.7-3450;;;;;;;;;;,8
CWW_090;;;;;;;;;;,8
A-CAR;;;;;;;;;;,8
B-VEL;;;;;;;;;;,8
HD921581;;;;;;;;;;,8
HATS568-001;;;;;;;;;;,8
HATS602-072;;;;;;;;;;,8
LAM-MUS;;;;;;;;;;,8
HR-4216;;;;;;;;;;,8
V337-CAR;V337CAR;;;;;;;;;,8
HR-4102;;;;;;;;;;,8
HD135485;;;;;;;;;;,8
HD168785;HD_168785_8.52;;;;;;;;;,8
HD15555AB;;;;;;;;;;,8
NOI-103318;HATS700-017;;;;;;;;;,8
HD105665;;;;;;;;;;,8
HD175128;;;;;;;;;;,8
HD142921;;;;;;;;;;,8
CPD-246168;;;;;;;;;;,8
HD172488;;;;;;;;;;,8
C01T016;;;;;;;;;;,8
V4090_SGR;V4090 SGR;;;;;;;;;,8
ZET-ARA;;;;;;;;;;,8
DEL-TRA;;;;;;;;;;,8
R-HOR;;;;;;;;;;,8
ZET-CAP;;;;;;;;;;,8
HIP-36284;HIP36284;;;;;;;;;,8
47TUC-V1;;;;;;;;;;,8
HD37642;;;;;;;;;;,8
HD37633;;;;;;;;;;,8
HATS772-186;;;;;;;;;;,8
HD000009;;;;;;;;;;,8
NG0532-3633-21676;;;;;;;;;;,8
HATS737-002;;;;;;;;;;,8
CL018_10;;;;;;;;;;,8
HATS698-038;;;;;;;;;;,8
WZ_SGR;WZ SGR;;;;;;;;;,8
RY_VEL;RY VEL;;;;;;;;;,8
NG0532-3633-21248;;;;;;;;;;,8
EPIC247098361;;;;;;;;;;,8
NG0509-3345-27966;;;;;;;;;;,8
NG0509-3345-23539;;;;;;;;;;,8
BUCIR;;;;;;;;;;,8
HR3867;;;;;;;;;;,8
HATS412-016;;;;;;;;;;,8
HATS559-024;;;;;;;;;;,8
HD151721;;;;;;;;;;,8
HD143675;;;;;;;;;;,8
E_218070138;;;;;;;;;;,8
HD126488;;;;;;;;;;,8
HD144587;;;;;;;;;;,8
J1941-56;;;;;;;;;;,8
NOI-101515;;;;;;;;;;,8
HR6819;;;;;;;;;;,8
HD18866;;;;;;;;;;,8
Gl173.1B;HIP21710;;;;;;;;;,8
NLTT15511;;;;;;;;;;,8
NLTT57675;;;;;;;;;;,8
NLTT15601;;;;;;;;;;,8
HD73526;;;;;;;;;;,8
G267-34;;;;;;;;;;,8
J0700+09;;;;;;;;;;,8
HD142113;;;;;;;;;;,8
C15-3762;;;;;;;;;;,8
HIP73012;HI73012;;;;;;;;;,8
TOI-824;;;;;;;;;;,8
TOI-907;;;;;;;;;;,8
TOI-853;;;;;;;;;;,8
NOI-105675;;;;;;;;;;,8
NOI-105452;;;;;;;;;;,8
J0349-40;;;;;;;;;;,8
NGC3114NO223;;;;;;;;;;,8
LMC-CEP-0973;;;;;;;;;;,8
LMC-CEP-0835;;;;;;;;;;,8
TIC422914082;;;;;;;;;;,8
V MU LUP;;;;;;;;;;,8
EM MWC  297;;;;;;;;;;,8
V PX VUL;;;;;;;;;;,8
MR_ARA;MR ARA;;;;;;;;;,8
TOI-1047;;;;;;;;;;,8
TOI-1997;;;;;;;;;;,8
V V856 SCO;;;;;;;;;;,8
TIC204671232;;;;;;;;;;,8
TOI-2486;;;;;;;;;;,8
TOI-4262;;;;;;;;;;,8
TIC165227846;;;;;;;;;;,8
UCAC4 323-064973;;;;;;;;;;,8
LHS3746;;;;;;;;;;,7
HD205582;;;;;;;;;;,7
HD222422;;;;;;;;;;,7
BD-050484;;;;;;;;;;,7
HD211534;;;;;;;;;;,7
HIP110258;;;;;;;;;;,7
HIP26542;;;;;;;;;;,7
HD28807;;;;;;;;;;,7
HD1171;;;;;;;;;;,7
CD-571633;;;;;;;;;;,7
HD68089;;;;;;;;;;,7
GL145;;;;;;;;;;,7
GJ1123;;;;;;;;;;,7
GJ1002;;;;;;;;;;,7
GL285;;;;;;;;;;,7
GL12;;;;;;;;;;,7
HD8912;;;;;;;;;;,7
HD52919;;;;;;;;;;,7
LHS543;;;;;;;;;;,7
HD34253;;;;;;;;;;,7
BD-171959;;;;;;;;;;,7
HIP31148;;;;;;;;;;,7
HIP31639;;;;;;;;;;,7
HD274255;VZ_COL;;;;;;;;;,7
BD-142469;;;;;;;;;;,7
HD76440;;;;;;;;;;,7
HD95860;;;;;;;;;;,7
HD102200;;;;;;;;;;,7
HD30523;;;;;;;;;;,7
HD65982;;;;;;;;;;,7
BD-112763;;;;;;;;;;,7
HIP61406;;;;;;;;;;,7
BD-073837;;;;;;;;;;,7
HIP35937;;;;;;;;;;,7
HD89147;;;;;;;;;;,7
HIP54446;;;;;;;;;;,7
HD102300;;;;;;;;;;,7
HD123619;;;;;;;;;;,7
HIP58608;;;;;;;;;;,7
