seqn, name         ,            identifier             ,typ,     ICRS_J2000                    ,      Ecl_J2000                    ,      Gal_J2000                    ,       pm       ,   plx   ,   radvel   ,  MagU   ,  MagB   ,  MagV   ,  MagR   ,  MagG   ,  MagI   ,  MagJ   ,  MagH   ,  MagK   ,  Magu   ,  Magg   ,  Magr   ,  Magi   ,  Magz   ,  spec_type    ,        morph_type         ,      ang_size       ,nparents,nchildren,nsiblings,nbib,nnotes
618 ,PNG 189.8+07.7,PN M 1-7                           ,PN ,099.337358 +24.010156              ,098.524067 +00.846728              ,189.894140 +07.793005              ,                ,         ,2.1         ,         ,         ,         ,         ,         ,         ,13.463   ,13.223   ,11.892   ,         ,         ,         ,         ,         ,               ,                           ,0.287 0.241          ,0       ,0        ,0        , 111,   0
619 ,PNG 190.3-17.7,Jonckheere 320                     ,PN ,076.3928240794300 +10.7063679939300,076.3251684739962 -12.0893133881921,190.3943805594301 -17.7600632332380,   1.998 -0.032 ,0.3065   ,-23.4       ,         ,         ,         ,         ,14.453791,         ,13.672   ,13.909   ,13.222   ,         ,         ,         ,         ,         ,O3V(f)         ,                           ,0.120 0.120          ,0       ,0        ,0        , 278,   0
620 ,PNG 192.5+07.2,PN HDW 6                           ,PN ,100.038663 +21.413494              ,099.343411 -01.700794              ,192.530995 +07.221336              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  19,   0
621 ,PNG 193.6-09.5,PN H 3-75                          ,PN ,085.1873845984800 +12.3562550327900,085.2108864380601 -11.0030705514434,193.6470439963705 -09.5750122680568,  -0.174 -0.391 ,0.2486   ,6.93        ,         ,14.8     ,         ,         ,13.806745,         ,12.004   ,11.463   ,11.329   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  56,   0
622 ,PNG 194.2+02.5,PN VV 28                           ,PN ,096.4886293442100 +17.7908712633800,096.2058722928662 -05.5087534281043,194.2425848498821 +02.5957923006127,   1.256 -0.618 ,         ,47.2        ,         ,         ,12.5     ,         ,17.062378,         ,11.581   ,11.214   ,10.114   ,         ,         ,         ,         ,         ,[WC]           ,                           ,0.337 0.249          ,0       ,0        ,0        , 288,   0
623 ,PNG 196.6-10.9,NGC 2022                           ,PN ,085.5257934388800 +09.0862738876600,085.4408589322894 -14.2822415879376,196.6845816288627 -10.9424337123257,  -0.201 -1.637 ,0.4378   ,14.2        ,         ,14.9     ,14.2     ,         ,15.707101,         ,15.421   ,11.79    ,11.03    ,         ,         ,         ,         ,         ,[WC]           ,                           ,0.30681834 0.30467501,0       ,0        ,0        , 355,   0
624 ,PNG 197.2-14.2,PN K 1-7                           ,PN ,082.939575 +06.933772              ,082.695408 -16.326675              ,197.270374 -14.238542              ,                ,         ,57.6        ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.333 0.333          ,0       ,0        ,0        ,  55,   0
625 ,PNG 197.4-06.4,PN G197.4-06.4                     ,PN ,089.8536122494700 +10.6945588262700,089.8525283832157 -12.7446628719707,197.4053561550599 -06.4418697613294,  -0.037 -1.384 ,1.7245   ,16.0        ,         ,16.958   ,17.226   ,17.338   ,17.168177,17.489   ,         ,         ,         ,         ,         ,         ,         ,         ,DA.3           ,                           ,                     ,0       ,0        ,0        ,  46,   1
626 ,PNG 197.8+17.3,NGC 2392                           ,PN ,112.2948630825400 +20.9117985800200,110.7586120590921 -00.9351784374931,197.8784273357156 +17.4002256974281,   -1.613 0.789 ,0.5451   ,84.2        ,         ,         ,9.68     ,         ,10.680075,         ,10.872   ,10.919   ,10.936   ,         ,         ,         ,         ,         ,O6f            ,                           ,0.33549997 0.33528835,0       ,0        ,0        , 711,   1
627 ,PNG 197.8-03.3,PN A66 14                          ,PN ,092.7860695843400 +11.7788401275400,092.7846116350907 -11.6335300909741,197.8492873958942 -03.4000740203778,    0.150 0.067 ,0.2181   ,            ,         ,15.75    ,15.24    ,         ,15.081338,         ,14.040   ,13.898   ,13.749   ,         ,         ,         ,         ,         ,B8-9           ,                           ,0.547 0.547          ,0       ,0        ,0        ,  51,   0
628 ,PNG 198.6-06.3,PN A66 12                          ,PN ,090.583521 +09.653914              ,090.592323 -13.784183              ,198.671869 -06.320099              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.617 0.617          ,0       ,0        ,0        ,  67,   0
629 ,PNG 200.7+08.4,PN A66 19                          ,PN ,104.985117 +14.609436              ,104.638032 -08.071630              ,200.786200 +08.450526              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,1.117 1.117          ,0       ,0        ,0        ,  34,   0
630 ,PNG 201.7+02.5,PN K 4-48                          ,PN ,099.982675 +11.108428              ,100.014237 -11.984515              ,201.738878 +02.523110              ,                ,         ,            ,         ,         ,13.2     ,         ,         ,         ,13.930   ,13.971   ,13.081   ,         ,         ,         ,         ,         ,               ,                           ,0.133 0.133          ,0       ,0        ,0        ,  40,   0
631 ,PNG 201.9-04.6,PN We 1-4                          ,PN ,093.640483 +07.574964              ,093.750888 -15.816945              ,201.957831 -04.659271              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  31,   0
632 ,PNG 204.0-08.5,PN A66 13                          ,PN ,091.199567 +03.943267              ,091.269492 -19.490744              ,204.023963 -08.515980              ,                ,         ,            ,         ,20.06    ,19.87    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,2.543 2.543          ,0       ,0        ,0        ,  59,   0
633 ,PNG 204.1+04.7,PN K 2-2                           ,PN ,103.0965228492900 +09.9654922670600,103.2339893711789 -12.8741655456998,204.1496676187508 +04.7343958614891,  -2.265 -8.389 ,1.2036   ,-44.4       ,         ,13.977   ,14.263   ,14.390   ,14.202900,14.553   ,14.941   ,14.992   ,15.086   ,         ,         ,         ,         ,         ,sdO            ,                           ,6.900 6.900          ,0       ,0        ,0        ,  69,   0
634 ,PNG 204.8-03.5,PN K 3-72                          ,PN ,095.978667 +05.503578              ,096.251592 -17.806069              ,204.883688 -03.577608              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.383 0.383          ,0       ,0        ,0        ,  36,   0
635 ,PNG 205.1+14.2,PN A66 21                          ,PN ,112.2612902725800 +13.2468298764400,111.8922770710388 -08.5166164404280,205.1386915806152 +14.2412104911120,  -2.929 -8.480 ,1.689    ,28.8        ,         ,15.67    ,15.99    ,         ,15.934316,         ,16.581   ,         ,         ,         ,         ,         ,         ,         ,DOZ            ,                           ,10.250 10.250        ,0       ,0        ,0        , 186,   0
636 ,PNG 205.8-26.7,PN MaC 2-1                         ,PN ,075.9243868591300 -06.1675075404900,073.9785749296984 -28.8273047790360,205.8740652616750 -26.7310448410721,   0.288 -0.533 ,0.0848   ,74.1        ,         ,         ,14.4     ,         ,15.813629,         ,15.132   ,15.282   ,14.711   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  40,   0
637 ,PNG 206.4-40.5,NGC 1535                           ,PN ,063.5657041305700 -12.7394256900900,058.6807653607628 -33.3492008005919,206.4767891823392 -40.5645393810776,   3.384 -1.729 ,0.7282   ,-1.4        ,         ,12.01    ,12.82    ,         ,12.057854,         ,10.904   ,10.860   ,10.245   ,         ,         ,         ,         ,         ,sdO3:          ,                           ,0.650 0.611          ,0       ,0        ,0        , 508,   0
638 ,PNG 208.5+33.2,PN A66 30                          ,PN ,131.7227666145300 +17.8795470540500,129.3003101657770 -00.0498135028217,208.5574695621032 +33.2889940617145,  -5.722 -1.249 ,0.4517   ,            ,         ,14.23    ,14.30    ,13.47    ,14.350273,         ,14.568   ,13.640   ,12.279   ,14.064   ,14.162   ,15.205   ,14.853   ,14.982   ,[WC5]          ,                           ,0.287 0.132          ,0       ,4        ,0        , 400,   0
639 ,PNG 210.0+03.9,PN We 2-34                         ,PN ,105.118346 +04.341767              ,105.894494 -18.267223              ,210.090254 +03.985171              ,                ,         ,            ,         ,         ,19.4     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  13,   0
640 ,PNG 210.3+01.9,PN M 1-8                           ,PN ,103.390812 +03.140822              ,104.213072 -19.640207              ,210.377688 +01.903962              ,                ,         ,52.0        ,         ,11.7     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.307 0.307          ,0       ,0        ,0        ,  98,   0
641 ,PNG 211.2-03.5,PN M 1-6                           ,PN ,098.9380171136400 -00.0937213773800,099.7340186066248 -23.2315064340788,211.2251170864339 -03.5322970482570,  -1.233 -1.292 ,0.1272   ,65.6        ,         ,         ,15.84    ,         ,15.473306,         ,12.063   ,11.475   ,10.276   ,         ,         ,         ,         ,         ,O6-9I          ,                           ,0.220 0.198          ,0       ,0        ,0        , 113,   1
642 ,PNG 211.4+18.4,PN HDW 7                           ,PN ,118.7971124404000 +09.5525504161600,118.9461112522758 -11.0399192885921,211.4686159073532 +18.4613839104121,   -2.893 0.280 ,0.7007   ,            ,         ,17.3     ,17.6     ,         ,17.836670,         ,         ,         ,         ,17.066   ,17.539   ,18.122   ,18.523   ,18.91    ,               ,                           ,                     ,0       ,0        ,0        ,  26,   0
